Entrez_Gene_Id	Tumor_Sample_Barcode
5601	TCGA-02-0014-01A-01W-0189-08
5603	TCGA-02-0083-01A-01W
5621	TCGA-08-0360-01A-01W
5629	TCGA-02-0010-01A-01W-0189-08
5719	TCGA-02-0025-01A-01W-0318-08
5719	TCGA-08-0353-01A-01W-0318-08
5719	TCGA-08-0356-01A-01W-0318-08
5727	TCGA-06-0151-01A-01W
5727	TCGA-06-0125-01A-01W
5728	TCGA-02-0052-01A-01W
5728	TCGA-02-0027-01A-01W
5728	TCGA-02-0001-01C-01W
5728	TCGA-06-0644-01A-02W
5728	TCGA-08-0348-01A-01W
5728	TCGA-06-0125-01A-01W
5728	TCGA-06-0206-01A-01W
5728	TCGA-06-0188-01A-01W
5728	TCGA-06-0168-01A-01W
5728	TCGA-08-0345-01A-01W
5728	TCGA-12-0618-01A-01W
5728	TCGA-12-0620-01A-01W
5728	TCGA-06-0184-01A-01W
5728	TCGA-06-0208-01A-01W
5728	TCGA-06-0190-01A-01W
5728	TCGA-02-0014-01A-01W
5728	TCGA-02-0055-01A-01W
5728	TCGA-06-0187-01A-01W
5728	TCGA-06-0195-01B-01W
5728	TCGA-02-0079-01A-01W
5728	TCGA-02-0021-01A-01W
5728	TCGA-06-0166-01A-01W
5728	TCGA-02-0038-01A-01W
5728	TCGA-02-0007-01A-01W
5728	TCGA-02-0113-01A-01W
5728	TCGA-02-0075-01A-01W
5728	TCGA-08-0389-01A-01W
5728	TCGA-06-0124-01A-01W
5728	TCGA-06-0184-01A-01W-0254-08
5728	TCGA-08-0359-01A-01W-0318-08
5728	TCGA-06-0208-01A-01W-0254-08
5728	TCGA-06-0190-01A-01W-0254-08
5728	TCGA-02-0014-01A-01W-0189-08
5728	TCGA-02-0055-01A-01W-0189-08
5728	TCGA-06-0187-01A-01W-0254-08
5728	TCGA-06-0195-01B-01W-0254-08
5728	TCGA-02-0079-01A-01W-0323-08
5728	TCGA-06-0166-01A-01W-0254-08
5728	TCGA-02-0038-01A-01W-0189-08
5728	TCGA-02-0007-01A-01W-0189-08
5728	TCGA-02-0075-01A-01W-0206-08
5728	TCGA-06-0138-01A-01W
5728	TCGA-06-0176-01A-02W
5728	TCGA-08-0380-01A-01W
5728	TCGA-06-0138-01A-01W-0254-08
5728	TCGA-06-0176-01A-02W-0254-08
5728	TCGA-08-0380-01A-01W-0318-08
5728	TCGA-02-0015-01A-01W-0318-08
5728	TCGA-02-0099-01A-01W-0206-08
5728	TCGA-02-0004-01A-01W-0318-08
5728	TCGA-08-0352-01A-01W-0323-08
5728	TCGA-06-0213-01A-01W-0254-08
5803	TCGA-02-0028-01A-01W
5911	TCGA-02-0010-01A-01W
5925	TCGA-06-0213-01A-01W
5925	TCGA-06-0184-01A-01W
5925	TCGA-12-0619-01A-01W
5925	TCGA-06-0184-01A-01W-0254-08
5925	TCGA-08-0389-01A-01W
5925	TCGA-06-0176-01A-02W
5925	TCGA-06-0195-01B-01W
5925	TCGA-02-0079-01A-01W
5925	TCGA-02-0033-01A-01W
5925	TCGA-06-0176-01A-02W-0254-08
5925	TCGA-06-0195-01B-01W-0254-08
5925	TCGA-02-0007-01A-01W-0189-08
5925	TCGA-02-0052-01A-01W
5925	TCGA-06-0184-01A-01W
5925	TCGA-06-0206-01A-01W
5925	TCGA-02-0052-01A-01W-0189-08
5925	TCGA-06-0184-01A-01W-0254-08
5925	TCGA-06-0206-01A-01W-0254-08
6038	TCGA-02-0114-01A-01W
6098	TCGA-02-0089-01A-01W-0206-08
6098	TCGA-02-0114-01A-01W-0206-08
6197	TCGA-06-0157-01A-01W
6252	TCGA-02-0021-01A-01W-0189-08
6263	TCGA-06-0126-01A-01W-0224-08
6422	TCGA-02-0047-01A-01W
6469	TCGA-06-0124-01A-01W
6469	TCGA-08-0390-01A-01W
6480	TCGA-06-0145-01A-01W
6480	TCGA-06-0145-01A-02W
6480	TCGA-06-0145-01A-03W
6480	TCGA-06-0145-01A-04W
6480	TCGA-06-0145-01A-05W
6480	TCGA-06-0145-01A-06W
6514	TCGA-02-0014-01A-01W-0189-08
6566	TCGA-08-0385-01A-01W
6664	TCGA-02-0010-01A-01W-0189-08
6664	TCGA-06-0173-01A-01W-0254-08
6678	TCGA-02-0010-01A-01W-0189-08
6693	TCGA-08-0354-01A-01W-0318-08
6772	TCGA-06-0185-01A-01W
6792	TCGA-06-0137-01A-01W-0224-08
6855	TCGA-06-0157-01A-01W-0254-08
6872	TCGA-06-0213-01A-01W
6872	TCGA-06-0176-01A-02W
6938	TCGA-02-0114-01A-01W
6938	TCGA-06-0128-01A-01W
7010	TCGA-06-0178-01A-01W
7010	TCGA-06-0126-01A-01W
7010	TCGA-06-0184-01A-01W
7010	TCGA-02-0028-01A-01W
7022	TCGA-06-0122-01A-01W
7048	TCGA-02-0014-01A-01W-0189-08
7057	TCGA-02-0007-01A-01W
7057	TCGA-02-0083-01A-01W
7077	TCGA-02-0083-01A-01W
7157	TCGA-06-0221-01A-01W
7157	TCGA-02-0083-01A-01W
7157	TCGA-06-0188-01A-01W
7157	TCGA-02-0003-01A-01W
7157	TCGA-02-0046-01A-01W
7157	TCGA-06-0195-01B-01W
7157	TCGA-02-0001-01C-01W
7157	TCGA-02-0114-01A-01W
7157	TCGA-06-0206-01A-01W
7157	TCGA-02-0010-01A-01W
7157	TCGA-02-0080-01A-01W
7157	TCGA-02-0058-01A-01W
7157	TCGA-02-0034-01A-01W
7157	TCGA-02-0033-01A-01W
7157	TCGA-06-0241-01A-02W
7157	TCGA-06-0190-01A-01W
7157	TCGA-02-0074-01A-01W
7157	TCGA-08-0351-01A-01W
7157	TCGA-02-0055-01A-01W
7157	TCGA-08-0359-01A-01W
7157	TCGA-06-0237-01A-02W
7157	TCGA-08-0245-01A-01W
7157	TCGA-02-0037-01A-01W
7157	TCGA-02-0011-01B-01W
7157	TCGA-02-0048-01A-01W
7157	TCGA-12-0619-01A-01W
7157	TCGA-06-0130-01A-01W
7157	TCGA-06-0184-01A-01W
7157	TCGA-02-0084-01A-01W
7157	TCGA-08-0360-01A-01W
7157	TCGA-08-0389-01A-01W
7157	TCGA-02-0075-01A-01W
7157	TCGA-02-0025-01A-01W
7157	TCGA-08-0353-01A-01W
7157	TCGA-08-0373-01A-01W-0323-08
7157	TCGA-02-0003-01A-01W-0189-08
7157	TCGA-02-0004-01A-01W-0318-08
7157	TCGA-02-0046-01A-01W-0189-08
7157	TCGA-06-0195-01B-01W-0254-08
7157	TCGA-02-0114-01A-01W-0206-08
7157	TCGA-02-0010-01A-01W-0189-08
7157	TCGA-02-0080-01A-01W-0206-08
7157	TCGA-02-0084-01A-01W-0323-08
